??????????,Are you studying at Chiang Mai University,Have you ever play any online game in the last semester,Gender,Years,Type of game,Hours spend,FPS,Casino,PvE,MOBA, Battle Royale,RTS,MMO, Puzzle,Other,Competitive Action,Role / Progression,Causal / Chance,GType,Game_Type_Merged,ADA1,ADA2,ADA3,ADA4,ADA5,ADA6,ADA7,ADA8,ADA9,ADA10,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,GPA,Game Addiction Total,Game Addiction Level,CP Total,CP Level,,,
7/11/2024 9:15:39,??? (Yes),???? (Yes),Male,2,"6. Real-time Shooter Game (RTS), 9. ????? (Other)",5,0,0,0,0,0,1,0,0,1,1,0,1,RTS,Competitive Action,0,0,1,0,1,1,0,0,0,1,5,4,4,3,3,4,4,5,4,2.45,4,Medium,36,High,,,
7/11/2024 9:18:24,??? (Yes),???? (Yes),Male,1,"1. First-Person Shooter Game (FPS), 3. Player versus Environment (PvE), 4. Multiplayer Online Battle Arena (MOBA) Games, 5. Battle Royale Games, 8. Puzzle",4,1,0,1,1,1,0,0,1,0,1,1,1,FPS,Competitive Action,1,0,1,1,1,1,0,0,1,1,5,4,4,4,4,4,4,4,4,3.00,7,High,37,High,,,
7/11/2024 9:23:21,??? (Yes),???? (Yes),Male,2,"1. First-Person Shooter Game (FPS), 3. Player versus Environment (PvE), 4. Multiplayer Online Battle Arena (MOBA) Games",3,1,0,1,1,0,0,0,0,0,1,1,0,FPS,Competitive Action,1,0,0,0,1,0,1,0,0,1,5,3,2,5,3,1,3,4,3,3.00,4,Medium,29,Medium,,,
7/11/2024 9:25:16,??? (Yes),???? (Yes),Female,3,9. ????? (Other),3,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,0,0,0,0,1,1,0,0,1,0,5,2,3,2,2,3,3,3,2,3.11,3,Low,25,Medium,,,
7/11/2024 9:25:52,??? (Yes),???? (Yes),Female,1,4. Multiplayer Online Battle Arena (MOBA) Games,2,0,0,0,1,0,0,0,0,0,1,0,0,MOBA,Competitive Action,0,0,0,0,0,1,0,0,0,0,5,4,3,4,4,3,4,4,4,3.53,1,Low,35,High,,,
7/14/2024 11:08:54,??? (Yes),???? (Yes),Male,1,9. ????? (Other),1,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,0,0,0,0,0,0,0,0,0,0,5,5,5,5,4,4,5,5,5,3.26,0,Low,43,High,,,
7/14/2024 11:09:25,??? (Yes),???? (Yes),Male,3,"1. First-Person Shooter Game (FPS), 3. Player versus Environment (PvE), 4. Multiplayer Online Battle Arena (MOBA) Games, 7. Massively Multiplayer Online (MMO) Games",4,1,0,1,1,0,0,1,0,0,1,1,0,FPS,Competitive Action,1,0,1,0,1,1,1,0,0,1,4,3,2,4,4,3,3,4,3,3.39,6,Medium,30,Medium,,,
7/14/2024 11:09:33,??? (Yes),???? (Yes),Male,1,"3. Player versus Environment (PvE), 8. Puzzle",3,0,0,1,0,0,0,0,1,0,0,1,1,PvE,Role / Progression,0,0,0,0,1,1,1,0,0,0,3,4,2,5,4,2,5,4,4,3.75,3,Low,33,Medium,,,
7/14/2024 11:09:35,??? (Yes),???? (Yes),Male,1,"3. Player versus Environment (PvE), 8. Puzzle",3,0,0,1,0,0,0,0,1,0,0,1,1,PvE,Role / Progression,0,0,0,0,1,1,1,0,0,0,3,4,2,5,4,2,5,4,4,3.75,3,Low,33,Medium,,,
7/14/2024 11:11:21,??? (Yes),???? (Yes),Male,2,5. Battle Royale Games,3,0,0,0,0,1,0,0,0,0,1,0,0,Battle Royale,Causal / Chance,0,0,1,0,1,1,0,0,0,0,5,5,3,4,4,3,3,3,3,3.60,3,Low,33,Medium,,,
7/14/2024 11:12:13,??? (Yes),???? (Yes),Male,1,"1. First-Person Shooter Game (FPS), 4. Multiplayer Online Battle Arena (MOBA) Games, 5. Battle Royale Games",3,1,0,0,1,1,0,0,0,0,1,0,0,FPS,Competitive Action,1,0,1,0,0,1,0,0,0,0,4,3,3,4,4,5,4,4,4,3.73,3,Low,35,High,,,
7/14/2024 11:12:59,??? (Yes),???? (Yes),Male,2,5. Battle Royale Games,4,0,0,0,0,1,0,0,0,0,1,0,0,Battle Royale,Causal / Chance,1,0,1,0,1,1,1,0,0,1,4,3,2,4,3,2,4,4,4,3.71,6,Medium,30,Medium,,,
7/14/2024 11:14:23,??? (Yes),???? (Yes),Male,1,"1. First-Person Shooter Game (FPS), 3. Player versus Environment (PvE), 4. Multiplayer Online Battle Arena (MOBA) Games",4,1,0,1,1,0,0,0,0,0,1,1,0,FPS,Competitive Action,1,0,1,0,1,1,1,0,0,1,5,5,4,4,3,5,4,4,3,3.99,6,Medium,37,High,,,
7/14/2024 11:14:59,??? (Yes),???? (Yes),LGBTQ+,2,4. Multiplayer Online Battle Arena (MOBA) Games,3,0,0,0,1,0,0,0,0,0,1,0,0,MOBA,Competitive Action,0,0,1,0,0,1,0,0,0,0,4,2,3,4,3,4,3,3,3,3.11,2,Low,29,Medium,,,
7/14/2024 11:15:48,??? (Yes),???? (Yes),Male,3,1. First-Person Shooter Game (FPS),4,1,0,0,0,0,0,0,0,0,1,0,0,FPS,Competitive Action,0,0,0,0,0,1,0,0,0,0,5,5,3,5,3,3,4,4,4,2.72,1,Low,36,High,,,
7/14/2024 11:16:03,??? (Yes),???? (Yes),Male,2,4. Multiplayer Online Battle Arena (MOBA) Games,2,0,0,0,1,0,0,0,0,0,1,0,0,MOBA,Competitive Action,0,0,0,0,1,1,0,0,0,0,4,3,2,5,3,5,5,5,5,3.12,2,Low,37,High,,,
7/14/2024 11:16:41,??? (Yes),???? (Yes),Male,3,"4. Multiplayer Online Battle Arena (MOBA) Games, 5. Battle Royale Games, 8. Puzzle, 9. ????? (Other)",4,0,0,0,1,1,0,0,1,1,1,0,1,MOBA,Competitive Action,0,0,1,0,1,0,0,0,0,0,5,4,3,3,4,2,3,4,2,1.94,2,Low,30,Medium,,,
7/14/2024 11:17:25,??? (Yes),???? (Yes),LGBTQ+,4,4. Multiplayer Online Battle Arena (MOBA) Games,3,0,0,0,1,0,0,0,0,0,1,0,0,MOBA,Competitive Action,1,0,1,0,1,1,0,1,1,1,4,4,4,4,4,3,3,4,3,4.00,7,High,33,Medium,,,
7/14/2024 11:17:30,??? (Yes),???? (Yes),Male,1,"1. First-Person Shooter Game (FPS), 4. Multiplayer Online Battle Arena (MOBA) Games, 9. ????? (Other)",4,1,0,0,1,0,0,0,0,1,1,0,1,FPS,Competitive Action,1,0,1,0,1,0,1,0,0,0,5,5,5,4,5,4,5,5,5,3.85,4,Medium,43,High,,,
7/14/2024 11:20:10,??? (Yes),???? (Yes),Female,3,9. ????? (Other),4,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,1,0,0,0,0,1,0,0,0,0,5,4,4,4,4,5,4,4,4,3.36,2,Low,38,High,,,
7/14/2024 11:20:38,??? (Yes),???? (Yes),Male,1,"1. First-Person Shooter Game (FPS), 4. Multiplayer Online Battle Arena (MOBA) Games, 5. Battle Royale Games",2,1,0,0,1,1,0,0,0,0,1,0,0,FPS,Competitive Action,0,0,0,0,0,0,0,0,0,0,4,5,5,5,4,4,4,4,4,3.95,0,Low,39,High,,,
7/14/2024 11:20:49,??? (Yes),???? (Yes),Male,2,"1. First-Person Shooter Game (FPS), 3. Player versus Environment (PvE), 4. Multiplayer Online Battle Arena (MOBA) Games, 7. Massively Multiplayer Online (MMO) Games, 9. ????? (Other)",5,1,0,1,1,0,0,1,0,1,1,1,1,FPS,Competitive Action,1,0,0,0,1,1,0,0,0,1,3,2,4,4,4,1,5,5,3,3.19,4,Medium,31,Medium,,,
7/14/2024 11:23:38,??? (Yes),???? (Yes),Male,2,"3. Player versus Environment (PvE), 7. Massively Multiplayer Online (MMO) Games",4,0,0,1,0,0,0,1,0,0,0,1,0,PvE,Role / Progression,1,0,1,0,1,1,1,1,0,1,3,4,2,3,3,3,5,3,3,3.27,7,High,29,Medium,,,
7/14/2024 11:23:49,??? (Yes),???? (Yes),Male,1,"1. First-Person Shooter Game (FPS), 4. Multiplayer Online Battle Arena (MOBA) Games, 5. Battle Royale Games",1,1,0,0,1,1,0,0,0,0,1,0,0,FPS,Competitive Action,0,0,1,0,1,1,1,0,0,0,5,4,4,4,5,3,4,4,4,3.89,4,Medium,37,High,,,
7/14/2024 11:24:42,??? (Yes),???? (Yes),LGBTQ+,1,9. ????? (Other),1,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,0,0,1,0,1,1,0,0,0,0,4,5,4,3,4,3,5,4,4,3.08,3,Low,36,High,,,
7/14/2024 11:24:44,??? (Yes),???? (Yes),Female,2,9. ????? (Other),1,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,0,0,0,0,0,1,0,0,0,0,5,5,5,4,4,2,4,4,5,3.33,1,Low,38,High,,,
7/14/2024 11:25:33,??? (Yes),???? (Yes),Female,3,9. ????? (Other),4,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,0,0,0,0,1,0,0,0,0,0,5,5,4,5,3,3,4,4,4,3.07,1,Low,37,High,,,
7/14/2024 11:25:46,??? (Yes),???? (Yes),Female,2,9. ????? (Other),3,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,1,1,1,0,1,1,1,1,0,0,4,4,3,5,4,4,3,4,4,3.03,7,High,35,High,,,
7/14/2024 11:26:37,??? (Yes),???? (Yes),Female,2,9. ????? (Other),4,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,1,0,1,1,1,1,1,0,0,0,4,3,3,3,3,2,5,5,4,3.00,6,Medium,32,Medium,,,
7/14/2024 11:26:41,??? (Yes),???? (Yes),Female,2,9. ????? (Other),1,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,0,0,0,0,0,1,0,0,0,0,3,3,3,5,4,3,5,4,5,3.06,1,Low,35,High,,,
7/14/2024 11:28:15,??? (Yes),???? (Yes),Female,2,"1. First-Person Shooter Game (FPS), 4. Multiplayer Online Battle Arena (MOBA) Games, 8. Puzzle",2,1,0,0,1,0,0,0,1,0,1,0,1,FPS,Competitive Action,0,0,0,0,0,1,0,0,0,0,4,4,4,5,4,3,5,4,4,3.21,1,Low,37,High,,,
7/14/2024 11:29:26,??? (Yes),???? (Yes),Female,1,9. ????? (Other),2,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,1,0,0,0,0,0,0,0,0,0,3,2,2,4,3,3,4,3,4,3.96,1,Low,28,Medium,,,
7/14/2024 11:34:58,??? (Yes),???? (Yes),Male,2,"3. Player versus Environment (PvE), 4. Multiplayer Online Battle Arena (MOBA) Games, 7. Massively Multiplayer Online (MMO) Games",5,0,0,1,1,0,0,1,0,0,1,1,0,PvE,Role / Progression,0,0,0,0,1,1,1,0,0,1,5,4,4,5,3,3,4,4,3,3.04,4,Medium,35,High,,,
7/14/2024 11:35:21,??? (Yes),???? (Yes),Male,1,"3. Player versus Environment (PvE), 4. Multiplayer Online Battle Arena (MOBA) Games, 9. ????? (Other)",4,0,0,1,1,0,0,0,0,1,1,1,1,PvE,Role / Progression,0,0,0,0,0,1,1,0,0,0,4,4,3,5,4,3,5,4,4,3.73,2,Low,36,High,,,
7/14/2024 11:41:39,??? (Yes),???? (Yes),Female,3,8. Puzzle,4,0,0,0,0,0,0,0,1,0,0,0,1,Puzzle,Causal / Chance,0,0,0,0,1,1,0,0,0,0,4,3,3,5,3,3,4,3,5,3.09,2,Low,33,Medium,,,
7/14/2024 11:45:40,??? (Yes),???? (Yes),Male,3,"1. First-Person Shooter Game (FPS), 2. Online Casino Games, 3. Player versus Environment (PvE), 4. Multiplayer Online Battle Arena (MOBA) Games, 5. Battle Royale Games, 7. Massively Multiplayer Online (MMO) Games, 8. Puzzle",3,1,1,1,1,1,0,1,1,0,1,1,1,FPS,Competitive Action,1,0,1,0,1,1,0,0,1,1,4,1,5,3,4,1,3,5,3,2.54,6,Medium,29,Medium,,,
